"","fieldsite","Age","ageclass","Gender","CTL","C6_prev_6","C6_prev_11","C6_prev_12","C6_prev_13","C6_prev_14","C6_prev_15","R4_relig_spirit","PO1_gen_1","PO1_gen_2","threat","R1_comm_risk_1","R1_comm_risk_2","R1_comm_risk_3","R1_comm_risk_4","Vaccinated","WaxWilling","HandWash","HandDisinfect","StayHome","Antibact","MaskFreq","AvoidPublic","Stockup","AltRem","CoverCough","SocDist","selfthreat","famthreat","commthreat","countrythreat","Threat","PO_social","PO_econ","CTL_c","AGE_c","threat_c","selfthreat_c","famthreat_c","commthreat_c","countrythreat_c","religious","spiritual","non_relig"
"1059","CH",28,"18-29","1",31,7,NA,NA,NA,NA,NA,1,1,1,17,4,3,5,5,1,NA,6,7,6,7,7,7,7,5,7,7,4,3,5,5,17,1,1,4.73414634146341,-7.0390243902439,4.00975609756098,0.851219512195122,-0.0682926829268293,1.85609756097561,1.37073170731707,1,0,0
"1060","CH",25,"18-29","2",23,2,NA,NA,NA,NA,NA,1,4,3,10,3,2,3,2,1,NA,2,2,3,3,4,2,3,2,3,4,3,2,3,2,10,4,3,-3.26585365853659,-10.0390243902439,-2.99024390243902,-0.148780487804878,-1.06829268292683,-0.14390243902439,-1.62926829268293,1,0,0
"1061","CH",25,"18-29","1",19,4,NA,NA,NA,NA,NA,3,4,4,4,1,1,1,1,1,NA,4,1,2,3,1,4,4,2,5,1,1,1,1,1,4,4,4,-7.26585365853659,-10.0390243902439,-8.99024390243902,-2.14878048780488,-2.06829268292683,-2.14390243902439,-2.62926829268293,0,0,1
"1062","CH",21,"18-29","1",26,1,NA,NA,NA,NA,NA,3,2,2,16,4,4,3,5,1,NA,1,6,6,4,7,1,1,1,2,4,4,4,3,5,16,2,2,-0.265853658536585,-14.0390243902439,3.00975609756098,0.851219512195122,0.931707317073171,-0.14390243902439,1.37073170731707,0,0,1
"1063","CH",28,"18-29","2",25,4,NA,NA,NA,NA,NA,2,8,7,17,4,5,4,4,1,NA,5,4,6,3,6,4,6,7,5,5,4,5,4,4,17,8,7,-1.26585365853659,-7.0390243902439,4.00975609756098,0.851219512195122,1.93170731707317,0.85609756097561,0.370731707317073,0,1,0
"1064","CH",28,"18-29","1",31,4,NA,NA,NA,NA,NA,3,2,2,13,3,3,3,4,1,NA,4,4,5,5,6,4,5,5,6,4,3,3,3,4,13,2,2,4.73414634146341,-7.0390243902439,0.00975609756097562,-0.148780487804878,-0.0682926829268293,-0.14390243902439,0.370731707317073,0,0,1
"1065","CH",27,"18-29","1",31,7,NA,NA,NA,NA,NA,3,1,2,17,4,4,4,5,1,NA,7,7,7,7,7,7,2,1,7,7,4,4,4,5,17,1,2,4.73414634146341,-8.0390243902439,4.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,1.37073170731707,0,0,1
"1066","CH",28,"18-29","1",30,7,NA,NA,NA,NA,NA,3,2,2,16,4,4,4,4,1,NA,7,7,7,7,7,7,7,7,7,3,4,4,4,4,16,2,2,3.73414634146341,-7.0390243902439,3.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,0.370731707317073,0,0,1
"1067","CH",28,"18-29","2",30,2,NA,NA,NA,NA,NA,3,2,2,18,4,4,5,5,1,NA,7,5,7,3,7,2,4,1,7,3,4,4,5,5,18,2,2,3.73414634146341,-7.0390243902439,5.00975609756098,0.851219512195122,0.931707317073171,1.85609756097561,1.37073170731707,0,0,1
"1068","CH",24,"18-29","2",22,2,NA,NA,NA,NA,NA,2,2,5,17,5,4,4,4,1,NA,7,7,7,7,2,2,2,1,3,2,5,4,4,4,17,2,5,-4.26585365853659,-11.0390243902439,4.00975609756098,1.85121951219512,0.931707317073171,0.85609756097561,0.370731707317073,0,1,0
"1069","CH",30,"30-39","1",27,6,NA,NA,NA,NA,NA,3,1,1,16,4,4,4,4,1,NA,6,6,6,6,6,6,6,6,6,6,4,4,4,4,16,1,1,0.734146341463415,-5.0390243902439,3.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,0.370731707317073,0,0,1
"1070","CH",24,"18-29","1",24,6,NA,NA,NA,NA,NA,2,2,2,14,4,4,3,3,0,7,7,7,7,7,6,6,6,6,6,6,4,4,3,3,14,2,2,-2.26585365853659,-11.0390243902439,1.00975609756098,0.851219512195122,0.931707317073171,-0.14390243902439,-0.629268292682927,0,1,0
"1071","CH",29,"18-29","1",30,1,NA,NA,NA,NA,NA,3,2,2,14,3,3,4,4,1,NA,1,6,1,6,7,1,1,1,1,5,3,3,4,4,14,2,2,3.73414634146341,-6.0390243902439,1.00975609756098,-0.148780487804878,-0.0682926829268293,0.85609756097561,0.370731707317073,0,0,1
"1072","CH",39,"30-39","2",25,2,NA,NA,NA,NA,NA,3,3,4,13,3,3,3,4,1,NA,7,7,2,1,7,2,1,1,5,7,3,3,3,4,13,3,4,-1.26585365853659,3.9609756097561,0.00975609756097562,-0.148780487804878,-0.0682926829268293,-0.14390243902439,0.370731707317073,0,0,1
"1073","CH",35,"30-39","1",23,6,NA,NA,NA,NA,NA,3,3,4,14,4,4,2,4,1,NA,7,6,3,5,6,6,2,1,6,6,4,4,2,4,14,3,4,-3.26585365853659,-0.0390243902439025,1.00975609756098,0.851219512195122,0.931707317073171,-1.14390243902439,0.370731707317073,0,0,1
"1074","CH",28,"18-29","1",27,6,NA,NA,NA,NA,NA,3,1,1,17,4,5,4,4,1,NA,5,6,2,6,6,6,5,3,5,5,4,5,4,4,17,1,1,0.734146341463415,-7.0390243902439,4.00975609756098,0.851219512195122,1.93170731707317,0.85609756097561,0.370731707317073,0,0,1
"1075","CH",35,"30-39","1",27,4,NA,NA,NA,NA,NA,2,5,7,18,5,4,4,5,1,NA,7,6,4,1,7,4,4,1,1,7,5,4,4,5,18,5,7,0.734146341463415,-0.0390243902439025,5.00975609756098,1.85121951219512,0.931707317073171,0.85609756097561,1.37073170731707,0,1,0
"1076","CH",54,"50-64","2",24,3,NA,NA,NA,NA,NA,3,2,3,13,3,4,3,3,1,NA,6,6,4,6,5,3,3,1,4,3,3,4,3,3,13,2,3,-2.26585365853659,18.9609756097561,0.00975609756097562,-0.148780487804878,0.931707317073171,-0.14390243902439,-0.629268292682927,0,0,1
"1077","CH",21,"18-29","2",27,1,NA,NA,NA,NA,NA,2,3,3,8,2,2,1,3,1,NA,7,7,1,7,7,1,2,1,7,2,2,2,1,3,8,3,3,0.734146341463415,-14.0390243902439,-4.99024390243902,-1.14878048780488,-1.06829268292683,-2.14390243902439,-0.629268292682927,0,1,0
"1078","CH",30,"30-39","2",29,7,NA,NA,NA,NA,NA,3,1,1,17,4,4,4,5,1,NA,6,7,3,7,7,7,4,1,7,7,4,4,4,5,17,1,1,2.73414634146341,-5.0390243902439,4.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,1.37073170731707,0,0,1
"1079","CH",31,"30-39","2",29,2,NA,NA,NA,NA,NA,2,2,2,17,4,4,4,5,1,NA,7,7,6,7,7,2,4,1,7,4,4,4,4,5,17,2,2,2.73414634146341,-4.0390243902439,4.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,1.37073170731707,0,1,0
"1080","CH",24,"18-29","2",22,1,NA,NA,NA,NA,NA,3,4,5,13,3,3,3,4,1,NA,6,7,3,7,7,1,2,1,6,1,3,3,3,4,13,4,5,-4.26585365853659,-11.0390243902439,0.00975609756097562,-0.148780487804878,-0.0682926829268293,-0.14390243902439,0.370731707317073,0,0,1
"1081","CH",24,"18-29","1",19,4,NA,NA,NA,NA,NA,2,4,5,12,3,3,2,4,1,NA,4,5,3,6,5,4,4,6,4,2,3,3,2,4,12,4,5,-7.26585365853659,-11.0390243902439,-0.990243902439024,-0.148780487804878,-0.0682926829268293,-1.14390243902439,0.370731707317073,0,1,0
"1082","CH",31,"30-39","2",24,5,NA,NA,NA,NA,NA,2,2,5,11,3,2,2,4,1,NA,6,7,7,3,7,5,7,4,6,5,3,2,2,4,11,2,5,-2.26585365853659,-4.0390243902439,-1.99024390243902,-0.148780487804878,-1.06829268292683,-1.14390243902439,0.370731707317073,0,1,0
"1083","CH",31,"30-39","2",30,6,NA,NA,NA,NA,NA,3,1,1,10,3,3,2,2,1,NA,7,7,7,7,7,6,4,1,7,7,3,3,2,2,10,1,1,3.73414634146341,-4.0390243902439,-2.99024390243902,-0.148780487804878,-0.0682926829268293,-1.14390243902439,-1.62926829268293,0,0,1
"1084","CH",49,"40-49","2",28,2,NA,NA,NA,NA,NA,3,1,1,11,2,2,3,4,0,6,7,6,3,1,7,2,2,1,3,7,2,2,3,4,11,1,1,1.73414634146341,13.9609756097561,-1.99024390243902,-1.14878048780488,-1.06829268292683,-0.14390243902439,0.370731707317073,0,0,1
"1085","CH",35,"30-39","1",30,2,NA,NA,NA,NA,NA,2,1,1,16,4,3,4,5,1,NA,3,3,2,4,6,2,1,1,5,2,4,3,4,5,16,1,1,3.73414634146341,-0.0390243902439025,3.00975609756098,0.851219512195122,-0.0682926829268293,0.85609756097561,1.37073170731707,0,1,0
"1086","CH",40,"40-49","1",30,1,NA,NA,NA,NA,NA,2,1,1,18,5,5,4,4,1,NA,7,6,4,5,4,1,3,1,3,4,5,5,4,4,18,1,1,3.73414634146341,4.9609756097561,5.00975609756098,1.85121951219512,1.93170731707317,0.85609756097561,0.370731707317073,0,1,0
"1087","CH",38,"30-39","1",24,4,NA,NA,NA,NA,NA,3,4,6,17,4,4,4,5,1,NA,4,4,5,5,3,4,3,5,5,5,4,4,4,5,17,4,6,-2.26585365853659,2.9609756097561,4.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,1.37073170731707,0,0,1
"1088","CH",35,"30-39","2",29,4,NA,NA,NA,NA,NA,3,1,3,7,1,1,2,3,1,NA,7,6,5,1,7,4,3,1,3,6,1,1,2,3,7,1,3,2.73414634146341,-0.0390243902439025,-5.99024390243902,-2.14878048780488,-2.06829268292683,-1.14390243902439,-0.629268292682927,0,0,1
